                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 1.1621,                0.58905,                 0.9244,                0.96534,                      1,                0.97985,                0.77958,                 1.0369,                0.50726,                0.81218,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.0646,                0.73471,                 0.8918,                0.96494,                      1,                0.97621,                 0.7813,                 1.0118,                0.49821,                0.81212,              0.0005546,              0.0005546,              0.0005546
                     76,                  1.116,                0.55092,                0.94789,                0.96637,                      1,                0.97136,                 0.7759,                 1.0023,                0.49018,                0.81066,              0.0005348,              0.0005348,              0.0005348
                     77,                  1.266,                0.58306,                0.92614,                 0.9659,                      1,                0.96864,                0.75798,                0.99359,                0.46311,                0.81053,               0.000515,               0.000515,               0.000515
                     78,                 1.1175,                0.55494,                0.91929,                0.96578,                      1,                0.96955,                0.70848,                 1.1748,                0.51263,                 0.8426,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.1077,                0.55663,                0.92278,                0.96594,                      1,                0.97045,                0.74875,                 1.0543,                0.48259,                0.82392,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.1462,                0.55117,                0.95464,                0.96753,                      1,                 0.9753,                 0.7806,                 1.0275,                0.46632,                0.82062,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.1102,                0.54742,                0.93379,                0.96705,                      1,                0.97621,                0.76066,                 1.0836,                 0.4815,                0.82946,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.0955,                 0.6404,                0.91756,                0.93864,                      1,                0.97534,                0.78435,                 1.0511,                0.48156,                0.82299,               0.000416,               0.000416,               0.000416
                     83,                 1.0594,                0.53494,                0.93767,                0.93828,                      1,                0.97504,                0.77671,                 1.0288,                0.46384,                0.82211,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.0379,                0.54194,                0.92944,                0.96712,                      1,                0.96955,                0.79003,                0.99214,                0.44603,                0.80823,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.0609,                0.53737,                0.92324,                0.96704,                      1,                0.96773,                0.75929,                 1.0547,                0.47474,                0.82245,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.0979,                0.55327,                0.94677,                0.96577,                      1,                0.97712,                0.75674,                 1.0813,                0.49061,                0.83088,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.0383,                0.54317,                0.92495,                0.96643,                      1,                0.97985,                0.76709,                 1.0214,                0.44912,                0.81853,               0.000317,               0.000317,               0.000317
                     88,                 1.0396,                0.53271,                 0.9217,                0.96597,                      1,                0.98197,                0.77004,                0.97518,                 0.4401,                0.81174,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.0991,                0.56372,                0.91806,                0.96725,                      1,                0.98379,                0.76362,                 1.0007,                0.43932,                0.81657,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.0985,                0.57465,                0.94675,                0.96799,                      1,                0.98379,                0.79317,                0.98064,                0.43471,                0.81324,              0.0002576,              0.0002576,              0.0002576
                     91,                0.91933,                0.47606,                0.84203,                0.96783,                      1,                0.98288,                0.79589,                0.92764,                 0.4504,                0.80106,              0.0002378,              0.0002378,              0.0002378
                     92,                0.89903,                0.45478,                0.87491,                0.96572,                      1,                0.98379,                0.79951,                0.94612,                0.47482,                0.80252,               0.000218,               0.000218,               0.000218
                     93,                0.93492,                0.46595,                0.88851,                0.96602,                      1,                0.97985,                0.78557,                 0.9404,                 0.4695,                0.80574,              0.0001982,              0.0001982,              0.0001982
                     94,                0.89668,                0.44775,                 0.9163,                0.96725,                      1,                 0.9847,                0.79284,                0.98321,                0.46313,                 0.8068,              0.0001784,              0.0001784,              0.0001784
                     95,                  0.872,                0.42697,                0.88871,                0.96631,                      1,                0.98379,                0.79012,                0.97028,                 0.4503,                0.80994,              0.0001586,              0.0001586,              0.0001586
                     96,                0.82641,                0.43107,                0.87136,                0.96573,                      1,                0.98197,                0.79334,                0.96376,                0.44988,                 0.8114,              0.0001388,              0.0001388,              0.0001388
                     97,                0.88985,                 0.4349,                0.88402,                0.96642,                      1,                0.98197,                0.79679,                0.96387,                0.44945,                0.80701,               0.000119,               0.000119,               0.000119
                     98,                0.83411,                0.42235,                0.88975,                0.96773,                      1,                0.98197,                0.80018,                0.95152,                0.44577,                0.80476,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.83554,                0.41098,                0.88866,                0.96807,                      1,                 0.9847,                0.79467,                0.93467,                0.44504,                0.80601,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.92747,                0.43169,                0.88051,                0.96807,                      1,                 0.9847,                0.78796,                 0.9307,                0.44489,                 0.8053,               5.96e-05,               5.96e-05,               5.96e-05
